h1,p
Código Penal AguascalientesArtículo 1. Principio de legalidad,"A nadie se le aplicará pena o medida de seguridad alguna si éstas no se encuentran previamente establecidas por una figura típica exactamente aplicable al hecho punible que corresponda, quedando prohibido imponerlas por simple analogía y aún por mayoría de razón."
"Código Penal AguascalientesArtículo 2. Principios de intervención mínima, lesividad y exterioridad","Para que una acción u omisión sean consideradas delictivas, se requiere que afecten o pongan en peligro concreto, sin causa justificada, al bien jurídico tutelado por la ley penal."
"Código Penal AguascalientesArtículo 2. Principios de intervención mínima, lesividad y exterioridad",El bien jurídico es el interés individual o colectivo protegido por un tipo penal en particular.
"Código Penal AguascalientesArtículo 2. Principios de intervención mínima, lesividad y exterioridad","El resultado podrá ser de afectación, destrucción, disminución o compresión del bien jurídico tutelado o su puesta en peligro concreto, como probabilidad de afectación, destrucción, disminución o compresión del bien jurídico."
Código Penal AguascalientesArtículo 3. Principio de culpabilidad,"No podrá aplicarse pena alguna, si la acción o la omisión no han sido realizadas culpablemente. La medida de la pena estará en relación directa con el grado de culpabilidad del sujeto respecto del hecho punible cometido, así como de la gravedad de éste."
Código Penal AguascalientesArtículo 3. Principio de culpabilidad,"Igualmente se requerirá la acreditación de la culpabilidad del sujeto para la aplicación de una medida de seguridad, si ésta se impone accesoriamente a la pena, y su duración estará en relación directa con el grado de aquélla."
Código Penal AguascalientesArtículo 3. Principio de culpabilidad,La sanción que se aplique por la comisión de un delito no trascenderá de la persona y bienes de los que intervengan en aquél.
Código Penal AguascalientesArtículo 4. Principio de jurisdiccionalidad,Las consecuencias jurídicas del delito solo podrán imponerse por resolución de autoridad judicial.
Código Penal AguascalientesArtículo 4. Principio de jurisdiccionalidad,"Las disposiciones establecidas en este Código se aplicarán respetando los derechos humanos, fundamentales y garantías de las personas establecidas en la Constitución Política de los Estados Unidos Mexicanos, el Derecho Internacional de los Derechos humanos del que el Estado Mexicano sea parte, la Constitución Política del Estado de Aguascalientes, y toda normatividad que derive de ellos."
Código Penal AguascalientesArtículo 5. Principios de dignidad e igualdad,"Las disposiciones establecidas en este Código se aplicarán respetando la dignidad humana de las personas, sin establecerse diferencia negativa alguna por razón de raza, origen étnico, idioma, nacionalidad, género, edad, discapacidades, condición social, posición económica, condiciones de salud, credo o religión, opiniones, preferencias, estado civil, cualesquiera otra circunstancia de análoga naturaleza u otros universalmente reconocidos como inaceptables con arreglo al derecho internacional"
Código Penal AguascalientesArtículo 6. Principio Pro Homine,"Toda persona será tratada como ser humano sujeto de derechos y no como objeto, respetando su dignidad, seguridad e integridad física, psíquica y moral."
Código Penal AguascalientesArtículo 6. Principio Pro Homine,"En caso de que disposiciones normativas aplicables sean contradictorias, o que de su interpretación o de una norma deriven diversos significados, deberá escogerse aquel que beneficie más a la protección y garantía de los derechos fundamentales. En el supuesto de que se encuentren enfrentados derechos de diversas personas, deberá observarse, además, las reglas de adecuación, necesidad y proporcionalidad para equilibrar los derechos en la medida de lo posible."
Código Penal AguascalientesArtículo 7. Validez personal,"El contenido de las figuras típicas descritas en este Código obliga a todos los habitantes del Estado de Aguascalientes, sin excepción alguna, sean nacionales o extranjeros, residentes o transeúntes."
Código Penal AguascalientesArtículo 8. Validez espacial,"Las consecuencias jurídicas establecidas se aplicarán a los responsables, por los hechos punibles que se inicien, preparen o cometan en el Estado, y respecto de aquellos que se inicien o preparen fuera del Estado, cuando el resultado se produzca en la entidad"
Código Penal AguascalientesArtículo 9. Validez temporal,"Para efectos de aplicación de la norma, se tendrá por ejecutado el hecho punible descrito en cada figura típica, en el lugar y tiempo en que se concretice el resultado de lesión o de peligro del bien jurídico tutelado. Es aplicable la ley vigente al momento de realización del hecho punible."
Código Penal AguascalientesArtículo 9. Validez temporal,"Cuando entre la comisión de un hecho punible y la extinción de la pena o medida de seguridad aplicadas, entrare en vigor un nuevo precepto legal en materia penal o se modificare uno vigente, se aplicará aquella norma que mantenga un equilibrio adecuado entre los derechos constitucionales de la víctima y del inculpado, sin que se afecten notablemente aquellos, situación que siempre será resuelta por la autoridad judicial que conozca del caso."
Código Penal AguascalientesArtículo 10. Regla de solución,"Cuando una misma materia aparezca regulada por diversas disposiciones, se aplicará aquella que más beneficie a los derechos fundamentales. En el supuesto de que se encuentren enfrentados derechos de diversas personas, deberán observarse, además, las reglas de adecuación, necesidad y proporcionalidad para equilibrar los derechos en la medida de lo posible."
Código Penal AguascalientesArtículo 10. Regla de solución,"Cuando se realicen conductas típicas contempladas en Leyes Generales expedidas por el Congreso de la Unión, y que por su disposición competa conocer y resolver a las autoridades del Estado, serán éstas las que se apliquen, observando las disposiciones generales de este Código en lo no previsto por tales leyes"
Código Penal AguascalientesArtículo 11. Elementos del delito,"Para que puedan aplicarse legalmente las penas y medidas de seguridad previstas en cada una de las figuras típicas reguladas en este Código debe acreditarse en cada hecho punible, la existencia de los siguientes elementos, para la configuración del delito:"
Código Penal AguascalientesArtículo 11. Elementos del delito,I. La Conducta;
Código Penal AguascalientesArtículo 11. Elementos del delito,II. La Tipicidad;
Código Penal AguascalientesArtículo 11. Elementos del delito,III. La Antijuridicidad; y
Código Penal AguascalientesArtículo 11. Elementos del delito,IV. La Culpabilidad.
Código Penal AguascalientesArtículo 11. Elementos del delito,"Tratándose de sujetos declarados inimputables, para que se les pueda aplicar la correspondiente medida de seguridad, bastará la acreditación de los elementos descritos en las Fracciones I a la III."
"Código Penal AguascalientesArtículo 12. Delito instantáneo, permanente y continuado","El delito es Instantáneo cuando su consumación se agota en el mismo momento en que se han realizado todos sus elementos constitutivos; es Permanente o Continuo cuando la consumación se prolonga en el tiempo; y Continuado cuando con unidad de propósito y pluralidad de conductas, se configura una misma figura típica en perjuicio de la misma víctima."
Código Penal AguascalientesArtículo 13. La conducta y nexo,Sólo serán considerados inculpados del hecho punible las personas físicas.
Código Penal AguascalientesArtículo 13. La conducta y nexo,La conducta penalmente relevante puede ser de acción u omisión en las que medie voluntad.
Código Penal AguascalientesArtículo 13. La conducta y nexo,"El resultado de afectación o de puesta en peligro concreto será imputado objetivamente a una persona cuando fuere consecuencia de su acción y medios adecuados para producirlo, salvo que hubiesen sobrevenido en virtud de un acontecimiento ajeno a la propia acción."
Código Penal AguascalientesArtículo 13. La conducta y nexo,"El resultado de afectación o de puesta en peligro concreto, se entenderá imputado objetivamente por omisión, cuando la no evitación de aquel, al infringir un especial deber jurídico de la persona equivalga, según el sentido del texto de la Ley, a una causación. A tal efecto, se equiparará la acción a la omisión:"
Código Penal AguascalientesArtículo 13. La conducta y nexo,I. Cuando exista una específica obligación legal o contractual de actuar;
Código Penal AguascalientesArtículo 13. La conducta y nexo,"II. La persona se encuentre en una efectiva y concreta posición de custodia de la vida, la salud o integridad corporal de algún miembro de su familia; o"
Código Penal AguascalientesArtículo 13. La conducta y nexo,"III. Cuando el omitente haya creado una ocasión de riesgo para el bien jurídicamente protegido por el particular tipo penal, mediante una acción u omisión precedente."
Código Penal AguascalientesArtículo 13. La conducta y nexo,La conducta de acción u omisión puede ser de contenido doloso o de contenido culposo.
Código Penal AguascalientesArtículo 13. La conducta y nexo,Las conductas dolosas o culposas solamente serán punibles en los casos expresamente determinados por la ley
Código Penal AguascalientesArtículo 14. Dolo,"Actúa dolosamente el que conociendo los elementos de la descripción típica o previendo como posible el resultado típico, quiere o acepta la realización del hecho punible descrito."
Código Penal AguascalientesArtículo 14. Dolo,"También actúa dolosamente el que queriendo producir el resultado de afectación o puesta en peligro concreto, produce otro, por error en la persona o en el objeto, y se aplicará en este caso, la pena o medida de seguridad correspondiente al tipo comprobado, valorándose las circunstancias de configuración del hecho."
Código Penal AguascalientesArtículo 15. Culpa,"Actúa culposamente el que realiza el hecho punible por incumplir un deber de cuidado que debía y podía haber observado, según sus condiciones personales y las circunstancias de realización del hecho."
Código Penal AguascalientesArtículo 16. Determinación de la conducta culposa,Para que una conducta sea culposa debe determinarse:
Código Penal AguascalientesArtículo 16. Determinación de la conducta culposa,"I. El deber de cuidado motivo de observación, y la base legal de su existencia y obligatoriedad;"
Código Penal AguascalientesArtículo 16. Determinación de la conducta culposa,II. Si el deber de cuidado pudo ser observado por la persona según sus circunstancias personales y las condiciones del hecho;
Código Penal AguascalientesArtículo 16. Determinación de la conducta culposa,"III. El lugar, tiempo y circunstancias en que se incumplió el deber de cuidado; y"
Código Penal AguascalientesArtículo 16. Determinación de la conducta culposa,IV. Que el incumplimiento a tal deber de cuidado sea lo que provocó el resultado típico que se atribuye a la persona
Código Penal AguascalientesArtículo 17. Formas de intervención,Serán considerados interventores del hecho punible:
Código Penal AguascalientesArtículo 17. Formas de intervención,"I. Los autores, teniendo esa calidad:"
Código Penal AguascalientesArtículo 17. Formas de intervención,a) Los que realicen la actividad típica por sí solos;
Código Penal AguascalientesArtículo 17. Formas de intervención,b) Los que realicen la actividad típica conjuntamente; o
Código Penal AguascalientesArtículo 17. Formas de intervención,"c) Los que realicen la actividad típica por medio de otro, del que se sirvan como instrumento."
Código Penal AguascalientesArtículo 17. Formas de intervención,"II. Los partícipes, teniendo esa calidad:"
Código Penal AguascalientesArtículo 17. Formas de intervención,a) Los que inducen dolosa y directamente al autor o coautores a ejecutar la actividad típica-
Código Penal AguascalientesArtículo 17. Formas de intervención,b) Los que cooperan dolosamente en su ejecución con una conducta sin la cual no se habría efectuado;
